00-database-info	This is the Vietnamese-English dictionary database of the Free Vietnamese Dictionary Project, and the Open Vietnamese Dictionary Project.; C
nàng thơ	Poetic muse, poetic inspiration, the muse
phuc lanh	Blessing, benediciton
phuc lanh	Blessing, benediciton
rang buoc	(adj) tie down
rang buoc	(adj) tie down
song toan	(adj) both complete
song toan	(adj) both complete
thieu mau	(adj) anaemic
thieu mau	(adj) anaemic
thổ nhưỡng	(noun) soil
thổ nhưỡng	(noun) soil
xi xao	(verb) buzz, whisper
xi xao	(verb) buzz, whisper
đi giải	make water, urinate
đi giải	make water, urinate
beo Tay	như bèo Nhật Bản
beo Tay	như bèo Nhật Bản
buot	(adj) Feeling a sharp pain, feeling a biting cold; sharp, biting
buot	(adj) Feeling a sharp pain, feeling a biting cold; sharp, biting
buot	(verb) To let slip down, to let slip out; To slip off, to slip out
bảo kiếm	Precious sword
chat chay	Inflammable
chat chay	Inflammable
co van	(noun) Adviser; counsellor
co van	(noun) Adviser; counsellor
cất vó	Rear; prance (of a horse)
cất vó	Rear; prance (of a horse)
doan chinh	(adj) serious; decent
doan chinh	(adj) serious; decent
dư âm	(noun) Echo
dư âm	(noun) Echo
giấy trang kim	Spangle
giấy trang kim	Spangle
hau qua	(noun) consequence
hau qua	(noun) consequence
hong tron	Bottomless
hong tron	Bottomless
hương thơm	(noun) scent, perfume, fragrance
hương thơm	(noun) scent, perfume, fragrance
khâu vắt	Whip-stitch
khâu vắt	Whip-stitch
luu hoa	Vulcanize
luu hoa	Vulcanize
mao quan	(noun) capillary
mao quan	(noun) capillary
nham lan	như lầm lẫn
nham lan	như lầm lẫn
nhăn nhíu	(adj) creased up, wrinkled up
nhăn nhíu	(adj) creased up, wrinkled up
nàng tiên	(noun) fairy
nàng tiên	(noun) fairy
phuc loc	Happiness and wealth
phuc loc	Happiness and wealth
qua u	Excessively, extremely
qua u	Excessively, extremely
thieu nao	(adj) sad at heart shably
thieu nao	(adj) sad at heart shably
thổ phỉ	(noun) bandit, brigand
thổ phỉ	(noun) bandit, brigand
tọa hưởng	(verb) to enjoy
tọa hưởng	(verb) to enjoy
xia	(verb) to pick
xia	(verb) to pick
đi khỏi	(địa phương) như đi vắng
đi khỏi	(địa phương) như đi vắng
bep	(adj) Flat, crushed; Prostrate, knocked down
bep	(adj) Flat, crushed; Prostrate, knocked down
bep	(noun) Cooking-stove, cooking range; Cooking fire; Kitchen, cook-house; Male cook; Household; Feudal soldier; Private first class
buot mieng	(verb) To make a slip of the tongue
buot mieng	(verb) To make a slip of the tongue
bảo lãnh	(verb) To act as guarantee for, to answer for, to be bail for
chat che	(adj) Close
chat che	(adj) Close
cất đi	(verb) To put away; to take away
cất đi	(verb) To put away; to take away
dao pha	All-purpose knife
doan chung	Infer (fro what is known); đoán định; Udge and decide
doan chung	Infer (fro what is known); đoán định; Udge and decide
dư đảng	(cũ, ít dùng) Remnants (of a political party organizationally destroyed)
dư đảng	(noun) vagrant
dư đảng	(noun) vagrant
giấy tàu bạch	China paper
giấy tàu bạch	China paper
hau quan	Rearguard
hau quan	Rearguard
hong van	Good luck, good fortune
hong van	Good luck, good fortune
hương trời	(văn chương,từ cũ; nghĩa cũ) Beautiful woman; beauty
hương trời	(văn chương,từ cũ; nghĩa cũ) Beautiful woman; beauty
khè	Dirty (yellow)
khè	(adj) to be burnt
khè	(noun) slit; chink; interstice
khè	Strike
khè	(adj) gently; softly
khè	(noun) carambola
khè	(noun) contract; greement
luu hoang	Sulphur
luu hoang	Sulphur
nham le	(địa phương) prompt
nham le	(địa phương) prompt
nhăn nhó	động từ. to grinmace, to wry
nhăn nhó	Grin
nhăn nhó	động từ. to grinmace, to wry
nào	which; Any
nào	Raise an uproar, raise a din
nào	(noun) (Anat) brain; cerebrum
nào	(từ cũ; văn chương) như nào
nào	(verb) to scrape; to clean; to clean out
phuc loi	Welfare
phuc loi	Welfare
qua vang	(từ cũ) [The] past
qua vang	(từ cũ) [The] past
thieu nhi	(noun) youngster, pioneer
thieu nhi	(noun) youngster, pioneer
thổ tinh	(noun) saturn
thổ tinh	(noun) saturn
tọa lạc	(verb) be located, to be situated
tọa lạc	(verb) be located, to be situated
xich	danh từ, động từ chain
xich	danh từ, động từ chain
đi kiết	Be affected by dysentery
đi kiết	Be affected by dysentery
đẩy lùi	cũng như đẩy lui; Roll back, push back, drive back; Checkau phuc	(noun) European clothes, European suit
đẩy lùi	cũng như đẩy lui; Roll back, push back, drive back; Check
bep nuc	(noun) Cook-house, kitchen (nói khái quát)
bep nuc	(noun) Cook-house, kitchen (nói khái quát)
bảo lĩnh	Act as guarantee for, answer for, be bail for
cai buong	(verb) to argue obstinately
cai buong	(verb) to argue obstinately
chat chiu	(verb) To nurse; To save every amount of
chat chiu	(verb) To nurse; To save every amount of
co vo	(verb) To excite; to exhort; to fire
co vo	(verb) To excite; to exhort; to fire
cất đầu	Stand up
cất đầu	Stand up
dao phay	Chopping-knife
doan dao	(noun) Cutlass
doan dao	(noun) Cutlass
dư địa chí	(cũ) Geography book
dư địa chí	(cũ) Geography book
giấy tín chỉ	Stamped paper
giấy tín chỉ	Stamped paper
hau san	(adj) post-natal
hau san	(adj) post-natal
hong xiem	Sapodila
hong xiem	Sapodila
hương tục	Village custom
hương tục	Village custom
khè khè	xem khè (láy)
khè khè	xem khẽ (láy)
khè khè	xem khẽ (láy)
luu hoc sinh	Student learning abroad
luu hoc sinh	Student learning abroad
ngoi am duong	Double tile
ngoi am duong	Double tile
nham luc	At the very moment, at the right instant
nham luc	At the very moment, at the right instant
nhăn nhúm	Wrinkled up
nhăn nhúm	Wrinkled up
nào hay	No one knows, no one knew, no one can tell, no one could tell
nào hay	No one knows, no one knew, no one can tell, no one could tell
phuc mac	(giải phẫu) Peritonaeum
phuc mac	(giải phẫu) Peritonaeum
song trung	(hiếm gặp) Double
song trung	(hiếm gặp) Double
thieu phu	(noun) young woman
thieu phu	(noun) young woman
tọa thiền	(verb) to sit in meditation
tọa thiền	(verb) to sit in meditation
xich dao	(noun) equator
xich dao	(noun) equator
đi làm	(verb) to go to work ; to go to business
đi làm	(verb) to go to work ; to go to business
đẩy mạnh	Push up, step up, speed up; Topush up productionau sau	(adj) Sad, melancholy
đẩy mạnh	Push up, step up, speed up; Topush up production
bep nuoc	(noun) Cooking
bep nuoc	(noun) Cooking
bảo lưu	(verb) To keep in statu quo, to make reservations about
chat choi	(adj) Cramped
chat choi	(adj) Cramped
co voi	Crest-fallen, with one's tail between one's legs
co voi	Crest-fallen, with one's tail between one's legs
co voi	Elephant grass
cấu	(verb) To claw; To nib, to pinch
cấu	(noun) Ball; Shuttlecock (sent forth and back by kicks); Demand; Bridge; Enlightening experience
cấu	(noun) Crane
cấu	(verb) To load and unload by means of a crane
cấu	(noun) Uncle, mother's brother; Young man; Master; Old boy, old chap; Father, dad
cấu	(noun) Dirt
cấu	(adj) Dirty
cấu	(verb) To be cross, to be furious
cấu	(noun) Colt, filly, foal; Dove; Sentence; Line, verse
cấu	(noun) Areca, betel-nut
cấu	(verb) To knit (one's brows), to scowl, to frown
doan dau dai	Scaffold
doan dau dai	Scaffold
giấy tờ	Paper, documents
giấy tờ	Paper, documents
hau sang	Waiter (in a Chinese restaurant)
hau sang	Waiter (in a Chinese restaurant)
hong y	như hồng y giáo chủ
hong y	như hồng y giáo chủ
hương vòng	Incense-coil
hương vòng	Incense-coil
khèn	(noun) Pan-pipe
khèn	(verb) to congratulate; to praise
luu huyet	(ít dùng) Shed blood
luu huyet	(ít dùng) Shed blood
mụn nhọt	Furuncle; boil
mụn nhọt	Furuncle; boil
ngoi bau	The throne
ngoi bau	The throne
nham mat	Close one's eyes
nham mat	Close one's eyes
nào là	như nào
nào là	như nào
qua xa	(thông tục) Excessvie, exaggerated
qua xa	(thông tục) Excessvie, exaggerated
rừng cấm	Protected forest
rừng cấm	Throb with emotion
rừng cấm	Throb with emotion
thieu quang	(noun) spring days
thieu quang	(noun) spring days
thổi phồng	(verb) to blow up
thổi phồng	(verb) to blow up
tọa đàm	(verb) to hold informal talk
tọa đàm	(verb) to hold informal talk
xich du	(noun) swing, rocking chair
xich du	(noun) swing, rocking chair
đi lính	(cũ) Go soldiering
đi lính	(cũ) Go soldiering
đẩy ngã	(verb) to push downau tri	(adj) Infantile, childish
đẩy ngã	(verb) to push down
bep rum	(cũng viết bẹp dúm) Flattened, deformed
bep rum	(cũng viết bẹp dúm) Flattened, deformed
bảo mẫu	(noun) Kindergartener, governess
chat chua	(verb) cumulate; to amass
chat chua	(verb) cumulate; to amass
cấu chí	To claw and pinch each other for fun
cấu chí	(noun) Fuse
cấu chí	To claw and pinch each other for fun
dao quam	Bush-whacker
dao quam	Bush-whacker
doan gia	Make a positive affirmation o uncertainn grounds
doan gia	Make a positive affirmation o uncertainn grounds
dưa chuột	Cucumber
dưa chuột	Cucumber
giấy viết thư	Letter paper
giấy viết thư	Letter paper
hau sinh	Person of a younger generation, junior
hau sinh	Person of a younger generation, junior
hong y giao chu	Cardinal
hong y giao chu	Cardinal
hương vị	(noun) aromatic flavour; taste
hương vị	(noun) aromatic flavour; taste
khé cổ	Have one's throat contracted by too much sweetness
khé cổ	Have one's throat contracted by too much sweetness
luu huynh	như lưu hoàng
luu huynh	như lưu hoàng
ngoi bo	Ridge-tile
ngoi bo	Ridge-tile
nham nghien	close (one's eyes) tightly
nham nghien	close (one's eyes) tightly
nào ngờ	Against all expectations; unexpectedly
nào ngờ	Against all expectations; unexpectedly
rừng già	Forest of high trees
rừng già	Forest of high trees
song tu diep	(thực vật) Dicotyledon
song tu diep	(thực vật) Dicotyledon
thieu sinh quan	(noun) young cadet
thieu sinh quan	(noun) young cadet
thổn thức	(verb) to sob
thổn thức	(verb) to sob
tọa độ	(noun) to ordinate
tọa độ	(noun) to ordinate
xich mich	(verb) to be in disagreement
xich mich	(verb) to be in disagreement
đi lại	Be on intimate terms; Have intimate relation with each other, entertain intimacy with
đi lại	Be on intimate terms; Have intimate relation with each other, entertain intimacy with
bep tai	dân bẹp tai Opium addicts
bep tai	dân bẹp tai Opium addicts
bảo mật	(verb) To keep state (one's organization's) secrets
chat chuong	(adj) Inconsistent in words, erratic, unreliable
chat chuong	(adj) Inconsistent in words, erratic, unreliable
chat chuong	(adj) Unsteady, unstable, cranky
co xat	To rub repeatedly; To come into contact with, to experience
co xat	To rub repeatedly; To come into contact with, to experience
doan hau	Attack in the rear
doan hau	Attack in the rear
doan hau	(adj) Without male issue; (địa phương) Unfaithfull, inconstant
dưa góp	Vegetable pickles
dưa góp	Vegetable pickles
giấy vệ sinh	(noun) toilet-paper
giấy vệ sinh	(noun) toilet-paper
hau su	Funeral, burial observances
hau su	Funeral, burial observances
hương án	Incense-table (placed in front of the altar)
hương án	Incense-table (placed in front of the altar)
khéo	(adj) clever; skilful; dexterous
khéo	Ham (back part of the leg behind the knee-joint)
luu lac	(verb) to drift
luu lac	(verb) to drift
ngoi but	Nib
ngoi but	Nib
nhăn răng	Bare one's teeth, show one's teeth
nhăn răng	Bare one's teeth, show one's teeth
nào đâu	Where is, where are
nào đâu	Where is, where are
ong duc	Drone
ong duc	Drone
phuc phan	Share of happiness one was blessed with
phuc phan	Share of happiness one was blessed with
rừng nguyên sinh	Primitive forest
rừng nguyên sinh	Primitive forest
song tuyen	như song toàn
song tuyen	như song toàn
thieu so	(noun) minority
thieu so	(noun) minority
thộp	(verb) to nab; to snatch; to pinch
thộp	(verb) to nab; to snatch; to pinch
tọng	(verb) to cram
tọng	(verb) to cram
xiec	(noun) circus
xiec	(noun) circus
đi nghỉ	Take (have) a rest; go to rest; Spend one's holiday
đi nghỉ	(noun) objection; coutrary opinion
đi nghỉ	(noun) objection; coutrary opinion
bep xep	(verb) To tell tales
bep xep	(verb) To tell tales
bảo nô	(sử học) Patron
cai co	(verb) To have an argument with (nói khái quát)
cai co	(verb) To have an argument with (nói khái quát)
chat dam	Nitrogenous matter, protein
chat dam	Nitrogenous matter, protein
dao rua	Cleaver, jungle-knife
dao rua	Cleaver, jungle-knife
doan ket	(verb) To unite; to combine
doan ket	(verb) To unite; to combine
dưa hành	Pickleed welsh onion
dưa hành	Pickleed welsh onion
giac bien	(noun) pirate
giac bien	(noun) pirate
giấy đi đường	Travel document (with dates of departure and arrival as a certificate for travelling expenses...)
giấy đi đường	Travel document (with dates of departure and arrival as a certificate for travelling expenses...)
hau ta	Show deep gratitude for, reward liberally
hau ta	Show deep gratitude for, reward liberally
hương đăng	(từ cũ; nghĩa cũ) Worship
hương đăng	(từ cũ; nghĩa cũ) Worship
khéo khỉ	You naughty (lời mắng yêu)
khéo khỉ	You naughty (lời mắng yêu)
luu lang	Vagrant
luu lang	Vagrant
ngoi chieu	Flat-tile
ngoi chieu	Flat-tile
nham nhang	Blow hot and cold, shuffle
nham nhang	Blow hot and cold, shuffle
nào đó	Some
nào đó	Some
rừng nguyên thủy	Virgin forest
rừng nguyên thủy	Virgin forest
thieu sot	(verb) to comnit, make a mistake
thieu sot	(noun) mistake, shortcoming
thieu sot	(verb) to comnit, make a mistake
thieu sot	(noun) mistake, shortcoming
tọt	(adv) swiftly
tọt	(noun) pawn
tọt	(adj) good
tọt	(adv) swiftly
xiem y	(noun) dress
xiem y	(noun) dress
đi ngoài	như đi ỉa
đi ngoài	như đi ỉa
bet	(adj) At the bottom of the scale, least, last, lowest, worst; dùng phụ sau động từ hoặc tính từ) Utterly wrong..
bet	(Flop)
bet	adj Flat; Elongated
bet	(verb) To stick
bet	(adj) Dog-tired, exhausted; Bad, inferior
bet	adv; Flat, plump
bet	(adj) At the bottom of the scale, least, last, lowest, worst; dùng phụ sau động từ hoặc tính từ) Utterly wrong..
chat deo	Plastic
chat deo	Plastic
doan kiem	(noun) Bayonet
doan kiem	(noun) Bayonet
dưa hấu	(noun) watermelon
dưa hấu	(noun) watermelon
giac cuop	(noun) thugs, robbers
giac cuop	(noun) thugs, robbers
giấy đánh máy	Flimsy paper, typing paper
giấy đánh máy	Flimsy paper, typing paper
hau tap	Attack in the rear
hau tap	Attack in the rear
hương ước	Village regulation, village convention
hương ước	Village regulation, village convention
khéo léo	như khéo (nói khái quát)
khéo léo	như khéo (nói khái quát)
luu loat	Fluent, smooth and ready
luu loat	Fluent, smooth and ready
nham nhap	xem nháp (láy)
nham nhap	xem nháp (láy)
nham nhap	xem nhắm nháp
nham nhap	cũng nói nhấm nháp peck at
nhăng nhít	Perfunctory, by halves
nhăng nhít	Perfunctory, by halves
nhăng nhít	Fuss domineeringly
nhăng nhít	Maze-like
này	here; This
này	This (high, much...), that (high, much...); Flabby fat part of pork sides; Flabbily fat; (địa phương) như này
này	Just ago
này	Now; at present; at this time
này	(verb) to pry; to prize
này	(verb) to bounce
này	That [person]; that [thing]
này	Bounce
này	(địa phương) Big
rừng rú	Brushwood
rừng rú	Brushwood
sụ	(adv) much, very, whoppingly
sụ	(noun) china, porcelain envoy, ambassader; (cũ) French resident
sụ	(noun) (cây) aegiceras
sụ	(verb) to mix up, to mix together
sụ	(noun) history
sụ	(noun) deed, act, action event, occurrence
sụ	(noun) (cây) aegiceras
sụ	(verb) to mix up, to mix together
sụ	(noun) uddhist priest, bonze; (sư đoàn) division
thieu ta	(noun) major
thieu ta	(noun) major
xien	(adj) slanting, oblique
xien	(adj) slanting, oblique
đi ngủ	(verb) to go to bed
đi ngủ	(verb) to go to bed
bet be	(ít dùng) như be bét
bet be	(ít dùng) như be bét
cai cua	(verb) to bar ; to bolt the door
cai cua	(verb) to bar ; to bolt the door
chat doc	(noun) toxic; poison
chat doc	(noun) toxic; poison
coc can	(adjective) Rude; rough
coc can	(adjective) Rude; rough
coc can	(adj) Rude; coarse; rough
dao sau	(nghiã bóng) Examine thoroughly (a question)
dao sau	(nghiã bóng) Examine thoroughly (a question)
doan mach	(noun) Short circuit
doan mach	(noun) Short circuit
dưa hồng	Chinese melon
dưa hồng	Chinese melon
giấy ảnh	Photographic paper
giấy ảnh	Photographic paper
hau than	Posterior personification, eventual impersonation
hau than	Posterior personification, eventual impersonation
hương ẩm	(từ cũ; nghĩa cũ) Post-worship feast (ở nông thôn ngày xưa)
hương ẩm	(từ cũ; nghĩa cũ) Post-worship feast (ở nông thôn ngày xưa)
